[XP-T-006#P001] 第一课：职场沟通的本质
[XP-T-006#P002] 我们今天来给大家讲一门课，叫职场沟通实讲。因为每天在直播间里，大家经常在问很多的问题，其中一类问题就是跟职场沟通相关：比如我该怎么跟领导去讲这个事？遇到了问题，同事跟我配合不起来怎么办？我的下属我应该怎么去跟他布置工作？这些事情如果从沟通的角度来看，实际都属于职场沟通的范畴。大家有时候也会经常问，比如我是个内向的人，是不是就不太擅长沟通？其实我认为沟通这件事情，只要是个人就没有什么擅长不擅长的，只是我们要了解它的一些方法、一些本质、一些原则。在这个课当中，我们不讲的是所谓沟通的技巧，比如说这个话我们怎么说别人才愿意听，我要怎么样去把这个深意拿出来，然后要曲折蜿蜒地怎么给领导打小报告，这些我们都不讨论。我们要讨论的是正常的、高效的、有正念的、三观很正的沟通到底是什么。
[XP-T-006#P003] 先正本清源，我们回答第一个问题：什么叫做职场沟通？关键词我认为落在"职场"两个字上。大家不要把日常聊八卦、跟同事吃个饭当成沟通，我认为这不属于职场沟通。一旦放到职场范围内，我们的沟通实际产生了一个最大的目的，就是为了工作结果的达成；如果还有第二个目的，就是为了工作结果的高效达成。我想问大家一个问题：沟通是不是一定要用嘴说？其实未必，拿邮件也行，甚至沟通结束之后形成了一个操作的SOP都行，甚至连话都不用说、邮件也不用发，它都有可能非常高效。所以本质上抓住两点：第一，我们所有沟通是有目的的，就是为了工作结果的达成；第二，我们不断提高沟通的水平，是为了工作结果的高效达成。
[XP-T-006#P004] 了解了这个本质以后，我们先做一个极端场景的假设：假如就有一个人，你不管跟他好说歹说怎么沟通，这个人就是没办法把工作结果达成，那还需不需要跟他进行进一步的沟通？答案很可能是不需要，你直接换人就行了。因为工作结果的达成这件事情，沟通只是其中一个要素，不是全部要素。所以什么是职场沟通？我们一定要强调"职场"两个字：就是为了工作结果的达成的沟通；跟工作结果达成不相关的，根本不是职场沟通的范畴。我要跟领导怎么说话才能让领导愿意听、我怎么处理同事关系、怎么处理下属关系，只要这些关系跟工作结果相关，我们就去处理它；不相关就不需要处理它。把这个记住，你会发现好多职场里的问题就被你简化了。
[XP-T-006#P005] 我这个课要做的很重要的一点，就是让大家把职场简化。因为工作不是人生的全部，我们不需要把人生的全部放在工作上；工作如果不是人生的全部，我们就不应该让工作当中的负面情绪、压力和痛苦影响我们其他生活的方面。怎么办？不是把工作复杂化，相反是把工作简单化。未来我要讲的所有的职场课，不仅是职场沟通，可能还有如何写汇报、如何谈判、如何进行团队管理、如何进行绩效面谈，所有这些东西目标就一条：简化我们的工作方法论，让事情变得简单、直接、有效，然后花时间去过工作以外的生活。
[XP-T-006#P006] 第二个话题：为什么需要沟通？这个很重要。在我们回答怎么沟通，也就是how问题的时候，这个方法论大家要记住：在回答任何"怎么办"问题之前，最好先问第一个问题"它是什么"，就是what的问题；第二个是why，为什么的问题；再去回答how的问题。因为直接上来回答how的问题，一方面是思维的懒惰，另一方面是急功近利的心态，还有一方面是这个how你即便给他分析、讲了，他也操作不了，而且非常被动。但是如果回答了是什么和为什么，很多时候how的问题显而易见，直接做就OK了。
[XP-T-006#P007] 我们为什么要沟通？我认为有三个非常重要的目的。第一个目的是为了减少误解。还是以简化为目标：我说的和你听到的、你说的和大家听到的、和你做的，只要出现了不一致……我们有的时候经常会说这个人心思有问题、出发点有问题、动机有问题，但是我们要说"君子论迹不论心"，你不要去想他是怎么想的、动机怎么回事，我们要用更加简洁直接的沟通方式让误解变少。因为误解变少，不做返工的事儿，自然而然就容易做好。所以沟通的第一个目的就是为了减少误解。
[XP-T-006#P008] 第二点就是为了构建信任。没有误解了，然后更多的信任，你会发现明明你需要说十句话，要解释背景、解释动机、考虑对方的情绪，但是一旦信任构建了，你有可能一个眼神，这个沟通就完成了，工作结果就已经达到了。沟通的第二个目的是为了构建信任：大家是一条船上的人，我们有着共同的目标；如果目标不一致，我们怎么协同成一致，让大家互惠互利，把这个事儿做好，这个叫构建信任。
[XP-T-006#P009] 第三个目的，产生结果。这是我们刚才讲的把沟通放在职场范畴之内一个很重要的原因：任何沟通不产生结果，等于没有沟通。大家想一想平常你们开会，很多开会议而不决，讨论了大半天，这个事儿到底谁做？怎么做？做好需要什么样的授权、什么样的资源？大家都没有讨论，时间表也没有拿出来，那它就不可能产生一个积极的结果。那之前什么减少误解、构建信任都是白费的。因为没有结果，企业就不能盈利；不能盈利，大家就不能发钱；不能发钱，军心一定会涣散。所以沟通最终的一个目的是为了产生结果。我们为什么要谈这三个标准——减少误解、构建信任、产生结果？就是要知道那个反面的东西是我们不想要的：你沟通沟通误解更增加了，那一定是沟通出问题了；沟通沟通信任瓦解了，那还不如不沟通；然后没有结果。这三个目标定完了以后，我们就能谈到第三个话题，叫有效沟通的原则。
[XP-T-006#P010] 第一课，我们是把什么是什么、方向是什么以及基本的原则拎出来。这也是大家未来做任何问题拆解时要去做的三步：第一个它是什么？第二个我们为什么要这么做？第三个我们做的基本原则是什么？注意还没有探到具体的步骤，先把原则拿出来，你会发现步骤就会非常清楚。围绕减少误解、构建信任、产生结果，第一个原则叫做坦诚：你怎么想的你就怎么说。坦诚一方面对自己，一方面对别人；尤其重要的是对自己的坦诚。沟通之前实际有很多功课要做，这个功课其实就是坦诚的工作，我们下节课再谈。坦诚了就没有误解，怕的就是自己心里有小算盘，或者你自己都没有弄清楚到底想要什么，表达得太抽象、自己也没想清楚，那别人没办法理解你到底想干什么。别人没办法理解你想要干什么的时候，他只能去猜，一猜就有可能猜错，猜错就有可能产生误解。所以坦诚是减少误解的最好方式。
[XP-T-006#P011] 第二个原则叫做利他。我们沟通时愿意让别人听我们讲话并且做出行为，并不是我们的说服力有多强、方法有多好、观点有多棒、我们在职场上多牛，而是因为你满足了他的需求，他才会愿意听你的话、跟你去做事儿。所以利他这件事情的背后就是满足别人的需求；满足别人的需求就能够构建信任，就能够形成良好的一换一、互相配合的机制。所以沟通的时候，如果你一直都是利己的话，没有人愿意跟你玩儿，你必须建立在利他的基础之上。当然很有可能你利他之后，仍然能产生利己的效果，没有问题；但是如果一点利他的因素都没有的话，利己是不能够产生的。职场当中我们见过太多的人，小算盘打得特别响，以至于周围所有人都能听见他心里小算盘的声音，这种人在职场上是不会有任何发展的。所以利他是建立信任的方法，因此也是我们有效沟通的原则：我们要站在别人的角度上去想，他为什么要听我们的话？为什么要跟我们一起把这个事情做了？为什么要跟我们一起面对困难？那其中一定有他的好处，所以要利他。
[XP-T-006#P012] 第三个原则叫做清晰。什么叫清晰？具体的、可测量的、能达到的、相关的、资源的配比以及时间表，这些东西就是清晰。你话说得非常清楚，清楚了才能产生结果，清楚了才能看到底有没有产生结果。很多人说话经常是"我们要复盘"，那什么是复盘？为什么要复盘？复盘的原则是什么？这些你都不清晰地表达，下属只知道说我OK、我要复盘，结果怎么复他是不知道的。我们经常讲"我们要以客户为中心"，什么叫以客户为中心？为什么要以客户为中心？原则是什么？没有构建出来，那它自然就不可能产生结果。所以清晰这件事情看上去像是说出来的，其实本质上是自己动脑子想出来的，是在职场当中产生结果的一个很重要前提。在大家没有误解、信任也构建的情况之下，一定是你脑子想清楚并且说清楚了：你说得越清楚，别人理解起来越没有成本，做起来也就越容易，没做到也就更能够看出来。
