original,normalized,confidence,occurrences,note
喜怒哀乐之未发威之中,喜怒哀乐之未发，谓之中,high,1,《中庸》引文
发而皆众，节谓之合,发而皆中节，谓之和,high,1,《中庸》引文
发而皆重结,发而皆中节,high,1,《中庸》引文
叫结这个就叫做合,叫节，这个就叫做和,high,1,《中庸》引文
直起两端,执其两端,high,4,《中庸》引文
只起两端,执其两端,high,1,《中庸》引文
直其两端,执其两端,high,3,《中庸》引文
用其忠于民,用其中于民,high,1,《中庸》引文
用其终于民,用其中于民,high,1,《中庸》引文
人不知而不孕,人不知而不愠,high,2,《论语》引文
不知，所以我不晕,不知，所以我不愠,high,1,《论语》引文
同门曰朋同,同门曰朋,high,1,朱熹注引文
同道违约,同道曰友,high,1,朱熹注引文
粪土之墙不可污,粪土之墙不可杇,high,1,《论语》宰予章
叫pic AP artist,叫Pickup Artist,high,1,PUA原称
简称pu v,简称PUA,high,1,缩写统一
poa,PUA,high,9,PUA误转写统一
pua,PUA,high,6,PUA大小写统一
你的阴谋和我的阴谋就是不一样的阴谋，但是我们通常管它叫阴谋没有用,你的emo和我的emo就是不一样的emo，但是我们通常管它叫emo，没有用,high,1,emo误转写
一某,emo,high,6,网络语转写
顾吉,顾及,high,1,《破圈》作者名
呈现的字物,呈现的自我,high,1,术语转写
阿德洛,阿德勒,high,1,人名
的农场悟道,的龙场悟道,high,1,史实
这个地方农场,这个地方龙场,high,1,史实
被贬折,被贬谪,high,1,文言
地无三三里，平天无三日，晴地无三分。阴,地无三里平，天无三日晴，地无三分银,high,1,贵州谚语
斯蒂文科维,史蒂芬·柯维,high,1,人名
习得性无主,习得性无助,high,1,术语
增加，不是不是,增加不适,high,1,金句术语
增加不是,增加不适,high,3,金句术语
添加不是,添加不适,high,1,金句术语
你的积极去,你的积极区,high,1,术语
反本，能做动作,反本能，能做动作,high,1,术语
画屏,画饼,high,1,固定表达
现代人叫做诗语,现代人叫做失语,high,1,术语
狂轰乱炸,狂轰滥炸,high,1,成语
低，能您去看一看,低能。你去看一看,high,1,断句
就具样具象了一些,就更具象了一些,medium,1,口语转写
获得动见,获得洞见,high,1,术语
营绕心中,萦绕心中,high,1,成语
电来个五五次,再来个五次,medium,1,口语转写
嘎成几段儿,咔成几段儿,medium,1,口语转写
个人的事例,个人的试炼,high,1,术语
要oin啊,要all in啊,high,1,英文
持续的时间,持续的实践,high,6,术语统一
记忆题,记忆体,high,4,术语统一
信念题,信念体,high,5,术语统一
情绪题,情绪体,high,2,术语统一
讲了三题,讲了三体,high,1,术语统一
通过三题,通过三体,high,1,术语统一
说，这个力啊,说，这个立啊,high,1,三十而立
去做情力管情绪管理,去做情绪管理,medium,1,转写
他人及地狱,他人即地狱,high,1,萨特名言
一念转静,一念转境,high,2,固定表达
魔憎了,魔怔了,high,1,口语
伤病局,伤病区,high,1,术语统一
积极需,积极区,high,1,术语统一
做功曲,做功区,high,1,术语统一
伤病去,伤病区,high,3,术语统一
非常I啊,非常哀啊,high,1,断句
报轻了，报重了,抱轻了，抱重了,high,1,语境
预值,阈值,high,1,术语
小川,小船,high,6,助教名统一
我说小陈对不起,我说小船对不起,high,1,助教名统一
我说小陈你喝不,我说小船你喝不,high,1,助教名统一
我说小帅肯定你太渴,我说小船肯定你太渴,high,1,助教名统一
小传老师,小船老师,high,1,助教名统一
遭遇双击,遭遇双减,high,1,政策术语
遭遇双节,遭遇双减,high,1,政策术语
双检,双减,high,1,政策术语
核不识肉迷,何不食肉糜,high,1,典故
乌烟儿气,乌烟瘴气,high,1,成语
出头靴子先烂,出头的椽子先烂,high,1,谚语
就怕万110000的概率,就怕万一，1/10000的概率,medium,1,数字转写
叫迷音了,叫迷因了,high,1,meme译名
衣不扣门挂不空出,医不叩门，卦不空出,medium,1,俗语
之前试讲的内容,之前四讲的内容,high,1,课程结构
情绪内行,情绪内耗,high,3,术语
二男选择,二难选择,high,1,术语
他命命好,他命好,medium,1,口语
k pi o kr,KPI、OKR,high,1,缩写
grow模型,GROW模型,high,2,模型名
g是什么目标,G是什么目标,high,1,字母
r是什么现状,R是什么现状,high,1,字母
o是什么？,O是什么？,high,1,字母
w是what's,W是what's,high,1,字母
smart,SMART,high,18,缩写统一
