[XP-T-004#P001] 职业规划
[XP-T-004#P002] 我们聊一聊职场规划，因为在直播间经常晚上跟大家连线的时候呢，大家的一个核心的问。就是哎呀，我现在换工作，我不知道该怎么选，我现在干的也不开心，我也不知道该怎么办，其实呢，在职场当中遇到的发展类的问题，
[XP-T-004#P003] 就是不知道选什么工作，不知道要换什么工作。不知道下步应该怎么办？多半情况下，我们能概括出来就是第一，你不知道你擅长什么，第二，你总觉得现在做的事情是在浪费你的时间，这两个问题呢，是基本上汇集成了职场各种各样的内耗也好，情绪负面情况也好，然后。彷徨焦虑也好的本质原因，不知道自己擅长什么，而且觉得现在自己在浪费时间，那么怎么去解决这个问题？我们今天呢，就用这个12讲啊，给大家再录一个12讲系列来谈一谈职业规划到底是什么？我们怎么能够用一套规划的方式让？让自己避免摔到职场的坑里，或者说现在已经在职场坑里的朋友，我们应该怎么爬出来？那这12讲呢？我先介绍一下每一讲的标题，第一讲呢，我们会讨论的，就是发现你的优势啊，任何的职业规划一定要从自身的优势出手。
[XP-T-004#P004] 我们经常谈的一个话题，就是不管外界怎么变化，我们要有自己的规划，不管风吹雨打，我们要胜似闲庭信步，那么你要知道你自己擅长是什么？所以第一讲要把你的优势帮你找出来，那么第二讲呢，我们会去讲叫试炼的新法，什么意思呢？你知道这个优势，或者说你感觉这个东西是你优势，或者你不知道是不是优势？怎么办哎？你要去试一下，
[XP-T-004#P005] 通过试炼来把你的优势进一步的明确来确定这个东西真的是你的优势，然后第三讲呢，我们会去谈啊，你已经假如说发现了这个优势之后，我们要来帮你进行匹配你的工作岗位，这也是现在。现在很多的朋友说我现在做的这个事儿，我不开心，我没成长啊，我没有得到收获，那下一份我该做什么，我们来去帮你做你的优势和你未来要做工作岗位的一个匹配的情况，那么第四讲呢，我们会去讲叫优势的强化。一旦你已经找到了优势，
[XP-T-004#P006] 试炼已经确认了，找到了类似相应的工作，我们怎么进一步把优势扩大化？那么第四讲讲完优势扩大化以后，我们的第五讲会去讲我们如何将优势转化为收益？该搞钱的搞钱，该搞明的搞明，对不对？已经有这么多优势的积累了，我们怎么把这个优势变成真正的收益？然后第六讲，我们会谈到的话题叫优势的迁移，我做这个事儿。没问题，那我以后做别的事，
[XP-T-004#P007] 我能不能把这个优势给迁移上去，这是第六讲讲的是优势的迁移，然后第七讲呢，我们会讨论的是周期与行业啊，因为大家在进行职业规划的同时，外部的行业。也在发生周期性的变化，我们到底应该进入什么行业？离开什么行业？我们在这里会给大家做一个分析，叫周期与行业第八讲呢，我们会去谈行业与公司啊，在一家行业里，行业行业我已经看明白了。我选哪一家公司？
[XP-T-004#P008] 唉，我现在这家公司值不值得待啊？我们会讨论行业与公司第九讲呢，我们会去讨论公司和岗位，公司大概我看齐了，唉，我到底现在是做哪个岗位？我是用我现在的岗位去换一家别的公司，还是说我在别的公司，我去找一个别的岗位，那么公司和岗位又是不一样的，一个参数第九，讲我们会谈到这个话题，第十讲呢，我们会谈职业与城市啊，
[XP-T-004#P009] 因为现在呢，大家。也是属于迁禧，对吧？很多时候要考虑这个城市的问题，尤其不同城市，它的基础设施建设呀，包括房价呀啊，消费呀都不一样，所以呢，大家在这个进行职业规划的时候也会讨论跟城市相关的一些话题。然后再来第11讲，我们会去谈这个学历与职业，大家经常说有一些工作呃，需要一些学历啊，
[XP-T-004#P010] 或者说我这个职业工作了一段时间，我还是希望自我去提升一下啊，到底怎么样去选？相应的，这个学历的提升的部分也是纳入到职业规划的一个部分，然后最后12讲啊，我们会去谈第二曲线，最终作为一个总结。来谈一谈职业规划和生涯规划之间的一个关系，这样的呢，是差不多对于整个我们12讲课的一个标题的大的宏观的介绍，那么我们就回到第一个部分，那今天我们来聊的就是。发展你的优势起点还是你的优势？刚才我说了，
[XP-T-004#P011] 不管外部风吹雨打对吧，我们自己要内部，我们要这个胜似闲庭信步啊，以我为主，这是职业规划的一个非常重要的重要这个点，而且呢，你了解外部，有的时候是不清晰的，外部你也没有办法把。了解自己，这是最稳妥的，也是最应该干的事情啊，那怎么做到？首先呢，我们来谈谈什么叫做优势呃，
[XP-T-004#P012] 人有各种各样方面的优势啊，比如说这个人非常擅长吃，那个人非常擅长喝，有的时候我们把方方面面的优势都可以找到啊，我相信。老天不会生一个废物，每个人实际都是有优势的，但是呢，这个优势放在职场上面，它到底是什么样的？而且这个优势到底是我喜欢。还是说我擅长经常大家搞不清楚哎，有的时候我们连线帮朋友们做职业规划，问他哎，你擅长什么呀？
[XP-T-004#P013] 我不知道哎，那你喜欢什么呀啊？我喜欢吃那喜欢吃那叫喜欢。他不一定擅长，对吧？所以到底什么是职场的优势？在这里有一个通用公式啊，你去看很多职场规划课程都会给你讲这个公式，叫职场优势等于才干成。乘以投入才干是什么？才干就是你擅长干的事情，注意是擅长，不是喜欢你擅长干的事情，每一个人实际都是有一定天赋的，所谓的天赋，
[XP-T-004#P014] 一会我们会下来说什么叫做擅长，对吧？有一定天赋的，你会觉得做这件事情。比较容易取得结果，这个就是你的天赋值所在，但是仅仅有了天赋够不够哎，这也不够，你需要有一定的投入，也就是说大家经常在问说这个优势到底是天生的。还是后天的。哪个更重要？有一段先天论，就是这种工作就老天赏饭，有没有有？
[XP-T-004#P015] 比如说网红这个行业，经常是我们大家说就是先天的，大家再说我能不能去做在抖音上做IP，我一般劝绝大多数人就别，那我为什么这么劝呢？因为首先很多人能做成抖音的网红，都是老天赏饭吃，他的口头表达能力啊，他的性格呀，唉，可能更擅长于这个短视频。但是，更为重要的是，你仅仅有先天不够，你后天要大量努力的投入，
[XP-T-004#P016] 你看我在做抖音这个短视频，前段时间。直播大家也都能看到，每天晚上播两三个小时，基本上持续了一个月。我认为我在表达力上是非常有才干的，这个应该也已经拿到了结果来说明了，毕竟05年的时候我上大学的时候就是世界英语演讲比赛冠军。对吧，所以说话肯定没问题，公众表达肯定没问题，但即便这样，我每天还投入两个到三个小时，晚上做这个直播的事儿，他必须得有时间的投入和资源的投入，
[XP-T-004#P017] 那很多人说呃，为什么我我劝他说你这可能不太擅长做抖音一方面？方面是未必有这个才干，另外一方面，其实我在用这件事情啊，在去测他的投入程度，如果别人说哎，我不擅长，我就不做了，那我告诉你，他大概率刚做一段时间，有人说你不擅长，他也就退了，或者说他自己内心会怀疑。我到底擅不擅长呢？
[XP-T-004#P018] 唉，他也退了，所以对于绝大多数情况上来讲，劝退别人其实是一场试炼的机会，到底擅不擅长，谁最有判断力，你自己有判断力，一会我们讲会怎么判断这个擅不擅长，但第二。一定要大量后天的投入，你没有投入，你是不可能构建优势的，尤其是比你有才干的人还在投入，那你怎么办？对吧，
[XP-T-004#P019] 所以投入是非常关键的一件事情，我们现在很多朋友都在想啊，我职场迷茫，我职场痛苦，我问你，你投入了多长时间？这个如果你都没有投入，你就不要再去谈你职场的发展，当然。这个职业发展的优势定位当中，如果我们能够标定出你的才干，那么再加上啊，超出常人的投入，你一定能取得常人在职场上无法比拟的优势了，那么怎么去发现职场的优势呢？
[XP-T-004#P020] 推荐大家一本书。叫盖洛普优势识别器20啊，你们可以买这个书，也可以在网上直接搜这几个词，它会有一个测评的问卷，它会有个测评的问卷。这个测评的问卷呢，你点开可以去做一下，会生成一个报告，这个报告会大概的分析出来，你的优势是什么？当然你可以看书，自己去学也行。然后呢？现在比较流行的这个MBTI啊，
[XP-T-004#P021] 也是一套测评工具，大家可以去做一做啊，看看你自己擅长什么，但是与此同时呢，实际这个问题自己也得问自己。三个问题，第一，做什么事情比别人做的快，做的好，你回想一下，过去比别人做的快，做的好，你是有体感的，我们每次在人生遇到重大问题的时候要去找感觉，这个感觉不是你情绪的感觉，
[XP-T-004#P022] 这个感觉是。你对这个问题判断的本质的感觉，我相信你现在比如说这个视频，你摁一下暂停，你就问自己这个问题，问五分钟，我在过去这么长的生命时间内有什么事情？我做的比别人快，或者说做的比别人好，我相信你一定有这个答案，不信你现在就摁暂停五分钟，还有什么问题你可以问呢，如果你看不出快和好。我做什么比较开心，往往你开心就代表着你投入，
[XP-T-004#P023] 然后第三种方法你可以问周围的人，周围的人对我正向评价的聚焦点，注意在这里有两个限定词。第一个限定词必须要是正向的，这你就会发现啊，周围交朋友什么，我们怎么样去识别这个人是我们的朋友，论语当中讲说益友有三。哪三个呢？有质有量有多闻。啥意思？第一，你这个朋友是正直的，叫有直第二个，你这个朋友有量，
[XP-T-004#P024] 他很宽容，他很包容，第三，你这个朋友多闻他见识过，大家觉得这三个字当中哪个很关键？当然三个都很关键，我认为有量特别关键就是你周围的朋友当中宽容的人多一点会特别好，为什么？因为它会包容你的缺点，并且正向肯定你的优点，它不会揪着你的缺点不放。很多人说啊，我需要争友，我需要友直这个朋友特别正直，有话直说啊，
[XP-T-004#P025] 可不可以？当然需要。但是如果他100%的都在负面的评价你，那就根本不是争友，在我看来他就是个损友，因为在你眼里他一文不值，那你为什么要把他当朋友呢？虽然他有可能有多吻，但是他真的没把你当朋友，真正把你当朋友的，他可以否定你51%，但是可以肯定你49%。甚至可以否定你99%，但是可以肯定你最闪亮的1%的那一点，所以怎么去评价那个人是不是你朋友，
[XP-T-004#P026] 永远记住一点，当然是插个话题了，永远记住一点，要正向评价，正向评价才是好朋友。当然，也可以直面你的批评，你的问题，但我一定要听他的正向评价，为什么？因为周围人对我正向评价的聚焦点。他大概率都会是我擅长的事情，而很多人为什么从小找不到自己擅长的才干，就是因为他生活在了这种压力之下。生活在了这种完美主义的统治之下，
[XP-T-004#P027] 生活在了极端的这种被控制之下，所以以后我们会讲这是什么问题，这是一个叫内向者陷阱，就是他不知道自己擅不擅长。他连试都不试，他一定马上否定自己，说我不擅长，他觉得擅长是一种错误，他觉得擅长是一种罪过，那假如说咱们听课的朋友真的有这种体会的话。我特别建议你利用问卷，不管是MBTI还是用盖洛普优势识别器 2.0，你去测一测，测出来之后。先构建你的正向的擅长的点，
[XP-T-004#P028] 你的人生才有起点，否则就不行，所以周围的朋友正向评价你的聚焦点，那么通过这三个问题，如果你能得出答案的话，你把那些词写在纸上。大概率这些词这些事情就是你的才干所在，那么你一旦找到了才干所在，我们要的就是投入，然后去做匹配。你的职场优势就被发挥出来了，但是呢，很多朋友说到现在我还是没有找到，没关系，我们再从另外一个角度帮你找，
[XP-T-004#P029] 今天就是多角度帮你找，再给你一个角度，大家看看下面这三个问题啊，你做过哪些有成就感的事？你平常晚上八点以后，或者周末做什么？如果你努力可以擅长做哪些事情？这是在面试当中三个经常被问到的问题，以后有机会再给大家讲这个。面试的这个职场模块啊，专门教你们面试，而且我站在一个中立方，教大家一方面教面试者，另一方面教面试官面试，这三个问题在测什么啊？
[XP-T-004#P030] 尤其假如说应届生经常被问到一个问题，就是你做过哪些有成就感的事，很多人说我考试分数可以。我就这个学习成绩取得了，经过努力取得了成绩，这个回答最多让别人感觉到是什么呢？你有知识获取能力，然后呢？你有一定的目标导向形成的成就感和驱动力。但仅此而已，而且更为关键的是，你问所有学生90%可能都会回答这件事，但是有另外的朋友回答角度不一样，我帮助别人，我非常有成就感，
[XP-T-004#P031] 哎我去，分享什么东西，我非常有成就感。我照顾小猫小狗，我非常有成就感，哎，有一次我在街边，哎，我这个看到了一个垃圾桶没摆正，我把它摆正了，我特别有成就感，你注意成就感跟成功不一样，千万不要被我们的教育给蒙蔽了，这种应试教育和这种群体教育有问题的。它让我们的内心的成就感值极低，
