source_id,original,normalized,confidence,occurrences,note
XP-T-001,AA 4,A4,high,1,纸张规格
XP-T-001,ai,AI,high,1,缩写统一
XP-T-001,cloud是吧,Claude〔待音频核验〕是吧,low,1,疑似模型名
XP-T-001,emtp,ENTP,high,1,人格类型
XP-T-001,enp这个entp,ENTP,high,1,人格类型
XP-T-001,hdmi,HTML,high,1,输出格式语境
XP-T-001,mbabti,MBTI,high,1,缩写
XP-T-001,open cloud,OpenClaw〔待音频核验〕,low,1,疑似平台/工具名
XP-T-001,scale,skill,high,1,全文语境
XP-T-001,work body,WorkBuddy〔平台名待音频核验〕,low,1,疑似平台名
XP-T-001,东式,格式,high,1,语境明确
XP-T-001,公布唐娟,功不唐捐,high,1,成语
XP-T-001,力大七里,力大出奇迹〔原转写“力大七里”，待音频核验〕,low,2,固定表达疑似
XP-T-001,字模型,自模型,high,14,全篇定义为 skill/agent/workflow
XP-T-001,巡博,辛博,high,1,人名上下文
XP-T-001,心博,辛博,high,6,人名上下文
XP-T-001,怎么大字模型和数学,怎么搭自模型和数据源,high,1,语境明确
XP-T-001,新博,辛博,high,5,人名上下文
XP-T-001,新法,心法,high,4,固定搭配
XP-T-001,日拱一族,日拱一卒,high,2,成语
XP-T-001,盖勒普,盖洛普,high,10,专有名词
XP-T-001,蓝威认证,蓝V认证,high,1,平台认证语境
XP-T-001,鑫博,辛博,high,2,人名上下文
XP-T-002,ai,AI,high,2,缩写统一
XP-T-002,art汇报原则,ART汇报原则,high,3,缩写
XP-T-002,grime这个。复盘模型,GRAI复盘模型,medium,1,后文口述为 grai
XP-T-002,gry是grai啊gry复盘模型,GRAI复盘模型,medium,1,原文自我纠正
XP-T-002,hhtml,HTML,high,1,输出格式语境
XP-T-002,mthtml,HTML,high,1,输出格式语境
XP-T-002,pdca,PDCA,high,2,缩写
XP-T-002,pdc的循环,PDCA循环,high,1,缩写与语境
XP-T-002,scale,skill,high,1,全文语境
XP-T-002,spring的工作法,Sprint工作法,high,1,上下文为目标管理
XP-T-002,公不唐捐,功不唐捐,high,2,成语
XP-T-002,力大七里,力大出奇迹〔原转写“力大七里”，待音频核验〕,low,1,固定表达疑似
XP-T-002,字，模型,自模型,high,1,术语一致
XP-T-002,平衡积分卡,平衡计分卡,high,3,管理模型名称
XP-T-002,心博,辛博,high,1,人名上下文
XP-T-002,日供一族,日拱一卒,high,1,成语
XP-T-002,百问不如一列,百问不如一练〔原转写“列”，待音频核验〕,low,1,上下文疑似固定表达
XP-T-002,盖勒普,盖洛普,high,1,专有名词
XP-T-002,风俭由人,丰俭由人,high,2,成语
XP-T-003,ai,AI,high,1,缩写统一
XP-T-003,opc,OPC,high,4,缩写
XP-T-003,open call,OpenClaw〔待音频核验〕,low,1,疑似平台/工具名
XP-T-003,ovc呃呃voc,VOC,high,1,后文明确为 VOC
XP-T-003,sa as,SaaS,high,1,缩写
XP-T-003,scale,skill,high,3,全文语境
XP-T-003,丘巴尼,Chobani,medium,1,案例名称
XP-T-003,乔巴尼,Chobani,medium,1,案例名称
XP-T-003,单经济模型,单位经济模型,high,1,商业模型名称
XP-T-003,商业化不MVP,商业画布、MVP,high,1,上下文
XP-T-003,心博,辛博,high,3,人名上下文
XP-T-003,慢over the loop,Human-on-the-loop〔原转写疑似“human/man over the loop”，待核〕,low,1,定义更接近 human-on-the-loop
XP-T-003,慢。in the loop,Human-in-the-loop〔待音频核验〕,low,1,常见术语
XP-T-003,新博,辛博,high,1,人名上下文
XP-T-003,股价已经搭建,骨架已经搭建,high,1,商业计划书语境
XP-T-004,MPV,MVP,high,2,模型名与后文一致
XP-T-004,试列,试炼,high,1,全课核心术语
XP-T-004,霍乱德,霍兰德,high,1,人名与职业兴趣模型
XP-T-004,盖乐普/盖勒普,盖洛普,high,4,专有名词统一
XP-T-004,盖洛普优势识别20/识别720,盖洛普优势识别器 2.0,medium,2,书名疑似指 StrengthsFinder 2.0
XP-T-004,manter/man ter/matter/慢ter,mentor,high,9,英文术语与上下文定义明确
XP-T-004,非卖/菲曼,费曼,high,3,费曼学习法
XP-T-004,沟通12家,沟通12讲,high,3,课程数量语境
XP-T-004,男儿正确,难而正确,high,1,固定表达与上下文
XP-T-004,一岗资源,异岗资源,high,4,跨职能同事语境
XP-T-004,售狗/受购,瘦狗,high,5,波士顿矩阵类型
XP-T-004,cash c/cash CA,cash cow,high,2,波士顿矩阵术语
XP-T-004,调限制/条限制,条线制,high,5,组织结构语境
XP-T-004,事业布置,事业部制,high,3,组织结构语境
XP-T-004,中国第一线城市,中国低线城市,high,3,上下文为城市梯度与时间差
XP-T-004,世界应用演讲比赛,世界英语演讲比赛,high,1,前文自述一致
XP-T-006,调一调职场沟通的话题,聊一聊职场沟通的话题,low,1,待音频核验
XP-T-006,复工事儿,返工的事儿,high,1,语境：不做返工的事
XP-T-006,职场高校会议事件,职场高效会议实讲,medium,1,课程系列名类比
XP-T-006,一而不决,议而不决,high,3,成语
XP-T-006,瓦瓦解了,瓦解了,high,1,重复字
XP-T-006,偏竖的部分,偏术的部分,high,1,与后文道的部分对应
XP-T-006,这个倒的部分,这个道的部分,high,1,道术对应
XP-T-006,二一填错25500,二一添作五，25%,high,1,成语+数字
XP-T-006,at tenable,attainable,high,2,SMART术语
XP-T-006,11000般的话,1万1，一般的话,high,1,涨粉数据语境
XP-T-006,是relative,是related,high,1,SMART术语统一
XP-T-006,如无必要物增实体,如无必要勿增实体,high,3,奥卡姆剃刀原文
XP-T-006,奥嘎姆剃刀,奥卡姆剃刀,high,2,人名/术语
XP-T-006,杨某,阳谋,high,2,与阴谋对应
XP-T-006,pic AP artist,Pickup Artist,high,1,PUA原称
XP-T-006,道德高低,道德高地,high,1,固定表达
XP-T-006,龙凤图,龙永图,high,1,WTO中方主谈代表
XP-T-006,罗永图,龙永图,high,1,同上
XP-T-006,中基总理,朱镕基总理,high,1,史实
XP-T-006,周总理说没有问题,朱总理说没有问题,high,1,上下文为朱镕基
XP-T-006,中旅说没问题,朱总理说没问题,medium,1,上下文为朱镕基
XP-T-006,一定要入市,一定要入世,high,2,WTO语境
XP-T-006,撩他刀子走人,撂挑子走人,high,1,固定表达
XP-T-006,特别长烈,特别强烈,medium,1,语境
XP-T-006,芭芭拉平托,芭芭拉·明托,high,1,金字塔原理作者
XP-T-006,搞养母,搞阳谋,high,1,与前文阳谋对应
XP-T-006,谈的戒指,谈的介质,high,1,沟通渠道语境
XP-T-006,面谈辞职是电话，电话辞职是微信文字，发短信再辞职是邮件,面谈，其次是电话；电话，其次是微信文字、短信；再其次是邮件,high,1,辞职=其次的误识
XP-T-006,数语,术语,high,1,避免术语语境
XP-T-006,钢筋,抬杠,high,1,语境
XP-T-006,bei lief,belief,high,1,ABC术语
XP-T-006,狗要。狗一嘴毛,狗咬狗一嘴毛,high,1,俗语
XP-T-006,各管五天,各关五天,medium,1,治安拘留语境
XP-T-006,颠倒不破,颠扑不破,high,1,成语
XP-T-006,对其目标,对齐目标,high,5,向上管理语境
XP-T-006,poa你,PUA你,high,1,职场PUA语境
XP-T-006,职场老条,职场老油条,high,1,语境
XP-T-006,法码,筹码,high,1,语境
XP-T-006,熬成河,熬成婆,high,1,俗语
XP-T-006,越组代刨,越俎代庖,high,1,成语
XP-T-006,锅肉/骨肉/g rod/gross,GROW,high,9,教练模型名
XP-T-006,简答问题,简单问题,high,1,语境
XP-T-006,心能转静,心能转境,high,2,心能转境、境由心起
XP-T-006,静由心起,境由心起,high,1,同上
XP-T-006,失交,失焦,high,1,识别问题语境
XP-T-006,问问议员,问问意愿,high,1,GROW意愿语境
XP-T-006,做不成演讲师感兴趣,做不成也想试、感兴趣,medium,1,上文做不成也想试
XP-T-006,穷极方案,穷举方案,high,1,发散收敛语境
XP-T-006,评级,平级,high,20,第十课主题为平级沟通
XP-T-006,财量权,裁量权,high,1,权利定义语境
XP-T-006,责权利/权责力,权责利,high,4,术语统一
XP-T-006,非缺,肥缺,high,1,利益独大语境
XP-T-006,抱自己的团儿,抱自己的团儿,high,1,抱团
XP-T-006,补的槽,吐的槽,high,1,吃饭吐槽对仗
XP-T-006,销售级产品,销售即产品,high,2,经营理念
XP-T-006,言简意骇,言简意赅,high,1,成语
XP-T-006,应认而解,迎刃而解,high,1,成语
XP-T-006,静止原则,镜子法,medium,1,第七课教的是镜子法
XP-T-006,二十八十原则/2080,二八原则（80/20）,high,3,术语统一
XP-T-006,颓不破,颠扑不破,high,1,成语
XP-T-008,喜怒哀乐之未发威之中,喜怒哀乐之未发，谓之中,high,1,《中庸》引文
XP-T-008,发而皆众，节谓之合,发而皆中节，谓之和,high,1,《中庸》引文
XP-T-008,发而皆重结,发而皆中节,high,1,《中庸》引文
XP-T-008,叫结这个就叫做合,叫节，这个就叫做和,high,1,《中庸》引文
XP-T-008,直起两端,执其两端,high,4,《中庸》引文
XP-T-008,只起两端,执其两端,high,1,《中庸》引文
XP-T-008,直其两端,执其两端,high,3,《中庸》引文
XP-T-008,用其忠于民,用其中于民,high,1,《中庸》引文
XP-T-008,用其终于民,用其中于民,high,1,《中庸》引文
XP-T-008,人不知而不孕,人不知而不愠,high,2,《论语》引文
XP-T-008,不知，所以我不晕,不知，所以我不愠,high,1,《论语》引文
